55d504f158bb66bd4e95559e2f83ee74,service,carts
df3b2321ff5bb54458594a33011ae123,service,carts-db
cdf531cdeb0e8556290d551f0ace744e,service,catalogue
5fcb58f2d4d4e4f67893afbb469994ce,service,catalogue-db
4d1083549d6d380eef0aa5878422fc49,service,front-end
1a86054dddc4c524c6f7c5044d458780,service,orders
e0ccadd50e0f9730a0f8444197472cbb,service,orders-db
0794209a9da3682e9a81d252b24c66a5,service,payment
0619bf849d7bb1717b5bab0943e62061,service,queue-master
0b9d4ced27b4e1481c87c6e12b835f1e,service,rabbitmq
7d197a15835c164bd9bd2eefac0ab9b3,service,session-db
95d00306f22876602986f293ede521b9,service,shipping
32d822e35453df22620f4b866ca5adbe,service,user
0b9d00aaf6ff6080c5fa8ea53ff624d6,service,user-db
90765519428bab863145d141b66cb499,app,carts
75492f36b8a31a2049968b7cd9eb26f9,app,carts-db
0ce80c1d2591b300a728014eac1b406d,app,catalogue
7cd4e72d6e9245fc6557343e6d623469,app,catalogue-db
3bf9a8e381b4b477b7aabd8608f1933e,app,front-end
08da2b7c38027a9be936d393c36af5eb,app,orders
7e0f36377ab03d5f0fd0f2524ad70ec9,app,orders-db
a44d3475283641846637976522a3fbb9,app,payment
71f5937e9cb98e88d27747f377e5b408,app,queue-master
010af45679b2c528eb518b5133976105,app,rabbitmq
1f70bffa962d99fa0d0e343d6efc50b6,app,session-db
2da8aef2aa0f141bfa633c505b6e1292,app,shipping
a56bf45743633de9189e005b12b0e11d,app,user
6d118a480bc1970c1403b4e94dac84cc,app,user-db
7d59363ba765fb09f6fc4cf98fed96f3,service,orders
375ab940b56ae7bcf0f89cb1a7af5d44,app,unknown
